code,name
600061,国投资本
600066,宇通客车
600085,同仁堂
600089,特变电工
600104,上汽集团
600111,北方稀土
600115,中国东航
600118,中国卫星
600150,中国船舶
600160,巨化股份
600176,中国巨石
600183,生益科技
600188,兖矿能源
600196,复星医药
600219,南山铝业
600221,海航控股
600233,圆通速递
600276,恒瑞医药
600309,万华化学
600346,恒力石化
600362,江西铜业
600372,中航机载
600406,国电南瑞
600415,小商品城
600426,华鲁恒升
600436,片仔癀
600438,通威股份
600460,士兰微
600482,中国动力
600489,中金黄金
600515,海南机场
600519,贵州茅台
600522,中天科技
600547,山东黄金
600549,厦门钨业
600570,恒生电子
600584,长电科技
600585,海螺水泥
600588,用友网络
600600,青岛啤酒
600660,福耀玻璃
600674,川投能源
600690,海尔智家
600741,华域汽车
600760,中航沈飞
600795,国电电力
600803,新奥股份
600809,山西汾酒
600845,宝信软件
600875,东方电气
600886,国投电力
600887,伊利股份
600893,航发动力
600900,长江电力
600905,三峡能源
600918,中泰证券
600919,江苏银行
600926,杭州银行
600930,华电新能
600938,中国海油
600941,中国移动
600958,东方证券
600989,宝丰能源
600999,招商证券
601006,大秦铁路
601009,南京银行
601012,隆基绿能
601018,宁波港
601021,春秋航空
601058,赛轮轮胎
601059,信达证券
601066,中信建投
601077,渝农商行
601088,中国神华
601100,恒立液压
601111,中国国航
601117,中国化学
601127,赛力斯
601136,首创证券
601138,工业富联
601166,兴业银行
601169,北京银行
601186,中国铁建
601211,国泰海通
601225,陕西煤业
601229,上海银行
601238,广汽集团
601288,农业银行
601318,中国平安
601319,中国人保
601328,交通银行
601336,新华保险
601360,三六零
601377,兴业证券
601390,中国中铁
601398,工商银行
601456,国联民生
601600,中国铝业
601601,中国太保
601607,上海医药
601618,中国中冶
601628,中国人寿
601633,长城汽车
601658,邮储银行
601668,中国建筑
601669,中国电建
601688,华泰证券
601689,拓普集团
601698,中国卫通
601727,上海电气
601728,中国电信
601766,中国中车
601788,光大证券
601800,中国交建
601816,京沪高铁
601818,光大银行
601825,沪农商行
601838,成都银行
601857,中国石油
601868,中国能建
601872,招商轮船
601877,正泰电器
601878,浙商证券
601881,中国银河
601888,中国中免
601898,中煤能源
601899,紫金矿业
601901,方正证券
601916,浙商银行
601919,中远海控
601939,建设银行
601985,中国核电
601988,中国银行
601995,中金公司
601998,中信银行
603019,中科曙光
603259,药明康德
603260,合盛硅业
603288,海天味业
603296,华勤技术
603369,今世缘
603392,万泰生物
603501,豪威集团
603799,华友钴业
603893,瑞芯微
603986,兆易创新
603993,洛阳钼业
605117,德业股份
605499,东鹏饮料
688008,澜起科技
688009,中国通号
688012,中微公司
688027,国盾量子
688036,传音控股
688041,海光信息
688047,龙芯中科
688065,凯赛生物
688072,拓荆科技
688082,盛美上海
688099,晶晨股份
688111,金山办公
688120,华海清科
688122,西部超导
688126,沪硅产业
688169,石头科技
688183,生益电子
688187,时代电气
688188,柏楚电子
688213,思特威
688220,翱捷科技
688223,晶科能源
688249,晶合集成
688256,寒武纪
688271,联影医疗
688297,中无人机
688303,大全能源
688347,华虹宏力
688361,中科飞测
688375,国博电子
688396,华润微
688469,芯联集成
688472,阿特斯
688498,源杰科技
688506,百利天恒
688521,芯原股份
688525,佰维存储
688538,和辉光电
688568,中科星图
688578,艾力斯
688599,天合光能
688608,恒玄科技
688617,惠泰医疗
688702,盛科通信
688728,格科微
688777,中控技术
688795,摩尔线程
688802,沐曦股份
688981,中芯国际
689009,九号公司
